,Date,Open,High,Low,Close
0,2015-01-27,29189.449219,29618.589844,29165.560547,29571.039063
1,2015-01-28,29565.720703,29786.320313,29417.669922,29559.179688
2,2015-01-29,29516.490234,29740.630859,29378.300781,29681.769531
3,2015-01-30,29801.599609,29844.160156,29070.480469,29182.949219
4,2015-02-02,29143.630859,29268.130859,28958.519531,29122.269531
5,2015-02-03,29217.400391,29253.060547,28900.410156,29000.140625
6,2015-02-04,29129.849609,29133.619141,28824.679688,28883.109375
7,2015-02-05,28912.380859,29277.830078,28753.289063,28850.970703
8,2015-02-06,28892.210938,28922.849609,28647.140625,28717.910156
9,2015-02-09,28566.5,28566.5,28183.320313,28227.390625
10,2015-02-10,28122.480469,28633.720703,28044.490234,28355.619141
11,2015-02-11,28450.259766,28618.910156,28424.390625,28533.970703
12,2015-02-12,28650.25,28838.519531,28406.25,28805.099609
13,2015-02-13,28888.990234,29154.669922,28835.699219,29094.929688
14,2015-02-16,29170.769531,29325.349609,29083.400391,29135.880859
15,2015-02-18,29170.769531,29411.320313,29083.400391,29320.259766
16,2015-02-19,29434.910156,29522.859375,29108.150391,29462.269531
17,2015-02-20,29446.210938,29462.089844,29178.259766,29231.410156
18,2015-02-23,29316.580078,29362.960938,28913.160156,28975.109375
19,2015-02-24,29016.550781,29130.669922,28875.939453,29004.660156
20,2015-02-25,29115.320313,29269.830078,28967.609375,29007.990234
21,2015-02-26,29051.900391,29069.130859,28693.820313,28746.650391
22,2015-02-27,28865.119141,29254.019531,28837.060547,29220.119141
24,2015-03-02,29533.419922,29576.320313,29259.769531,29459.140625
25,2015-03-03,29500.189453,29636.859375,29364.869141,29593.730469
26,2015-03-04,29937.269531,30024.740234,29289.050781,29380.730469
27,2015-03-05,29436.769531,29518.320313,29162.470703,29448.949219
28,2015-03-09,29436.769531,29518.320313,28799.759766,28844.779297
29,2015-03-10,28924.060547,28949.109375,28584.490234,28709.869141
30,2015-03-11,28725.75,28843.230469,28608.179688,28659.169922
31,2015-03-12,28798.609375,28971.009766,28772.710938,28930.410156
32,2015-03-13,29134.929688,29183.759766,28448.480469,28503.300781
33,2015-03-16,28546.310547,28581.820313,28384.089844,28437.710938
34,2015-03-17,28595,28784.349609,28435.449219,28736.380859
35,2015-03-18,28766.869141,28806.970703,28546.759766,28622.119141
36,2015-03-19,28805.220703,28978.740234,28411.699219,28469.669922
37,2015-03-20,28465.439453,28484.359375,28209.660156,28261.080078
38,2015-03-23,28317.289063,28385.140625,28163.900391,28192.019531
39,2015-03-24,28209.330078,28455.320313,28130.089844,28161.720703
